,OBJECTID,REFVAL,ADDRESS,PROPOSAL,STATUS,DECISION,DEC_DATE,SHAPE.AREA,SHAPE.LEN,OBJECTID_1,StartYear,Postcode
1940,174367,12/04251/F,Unit 2Wyatts ViewBristolBS4 4WW,"Change of use from A1 retail to A3 restaurants & cafes, and associated external alterations.",GRANTED subject to condition(s),GRANTED subject to condition(s),-1248065536.0,0,0,174367,12,BS4 4WW
1944,174375,12/00710/F,1 Flowers Hill CloseBristolBS4 5LF,Change of use from General Industrial Use (B2) and (B8) to Vehicle Dismantling Premises (Sui-Generis) with subsidiary retail sales.,GRANTED subject to condition(s),GRANTED subject to condition(s),786770944.0,0,0,174375,12,BS4 5LF
1948,174381,12/00785/F,278 Wells RoadKnowleBristolBS4 2PU,Convert 1st floor office into a 2-bed flat.,GRANTED subject to condition(s),GRANTED subject to condition(s),-595629056.0,0,0,174381,12,BS4 2PU
1966,174429,12/04019/F,11 Clothier RoadBristolBS4 5PS,To erect a 2.4m high secure mild steel galvanised palisade fence and 7.5m wide gates to the compound.,GRANTED subject to condition(s),GRANTED subject to condition(s),22901760.0,0,0,174429,12,BS4 5PS
1974,174443,12/04126/LA,Arnos Vale CemeteryBath RoadBrislingtonBristolBS4 3EW,Alteration to Grade II* cast iron main entrance gate to incorporate mechanical opening and closing device.,GRANTED subject to condition(s),GRANTED subject to condition(s),454901760.0,0,0,174443,12,BS4 3EW
2004,174496,12/02746/H,35 Eagle RoadBristolBS4 3LQ,Drop kerb at front of property to access driveway.,GRANTED subject to condition(s),GRANTED subject to condition(s),602669056.0,0,0,174496,12,BS4 3LQ
2006,174500,12/02870/F,306 Wells RoadKnowleBristolBS4 2QG,Change of use of ground and first floor from retail and ancillary storage (Use Class A1) to financial and professional services (Use Class A2).,GRANTED subject to condition(s),GRANTED subject to condition(s),1096036352.0,0,0,174500,12,BS4 2QG
2025,174551,12/01161/F,Building Junction County Street AndStanley HillBristolBS4 3AY,Conversion of existing building into 3 No. self-contained 3 bedroom houses.,GRANTED subject to condition(s),GRANTED subject to condition(s),1305170944.0,0,0,174551,12,BS4 3AY
2027,174553,12/01365/H,83 Repton RoadBristolBS4 3LU,Two storey extension to the rear of the house with decking/stairs providing access to garden.,GRANTED subject to condition(s),GRANTED subject to condition(s),-1323163648.0,0,0,174553,12,BS4 3LU
2029,174559,12/01397/H,79 Hungerford CrescentBristolBS4 5HJ,Single storey rear extension.,GRANTED subject to condition(s),GRANTED subject to condition(s),-1693796352.0,0,0,174559,12,BS4 5HJ
2030,174560,12/01618/F,198 Wells RoadTotterdownBristolBS4 2AX,Change of use from A1 retail to A3 food and drink.,GRANTED subject to condition(s),GRANTED subject to condition(s),1330203648.0,0,0,174560,12,BS4 2AX
2037,174571,12/03220/F,Church Of The NazareneSummer HillBristolBS4 3BG,Conversion of existing church building to form 5 No. self-contained flats and ancillary accommodation.,GRANTED subject to condition(s),GRANTED subject to condition(s),-1643730944.0,0,0,174571,12,BS4 3BG
2057,174600,12/04190/X,60 Bayham RoadBristolBS4 2DR,Variation of Condition 11 attached to planning consent 11/04532/F - (Erection of 1no. 1-bed dwelling) - Revised external finishes treatment and additional canopy to front door - Substitution of drawings B01 rev A and B05 rev A for those approved,GRANTED subject to condition(s),GRANTED subject to condition(s),109301760.0,0,0,174600,12,BS4 2DR
2086,174658,12/03082/F,70 Crossways RoadBristolBS4 2SP,Proposed single storey side extension to create staff room for office building.,GRANTED subject to condition(s),GRANTED subject to condition(s),-1852865536.0,0,0,174658,12,BS4 2SP
2094,174676,12/01368/H,26 Robertson DriveBristolBS4 4JB,Single storey rear extension.,GRANTED subject to condition(s),GRANTED subject to condition(s),-484196352.0,0,0,174676,12,BS4 4JB
2137,174775,12/02024/H,9 Arlington RoadBristolBS4 4AF,"Single storey, flat-roofed, rear extension to the kitchen with a rear conservatory and a detached garage with a parking area.",GRANTED subject to condition(s),GRANTED subject to condition(s),293403648.0,0,0,174775,12,BS4 4AF
2153,174810,12/04936/H,15 Montrose ParkBristolBS4 4JE,First floor rear extension (over existing ground floor) and dormer roof extension to facilitate loft conversion.,GRANTED subject to condition(s),GRANTED subject to condition(s),307134464.0,0,0,174810,12,BS4 4JE
2157,174818,12/01066/H,44 Talbot RoadBristolBS4 2NW,Driveway to the front of the house including dropped kerb.,GRANTED subject to condition(s),GRANTED subject to condition(s),639003648.0,0,0,174818,12,BS4 2NW
2159,174820,12/01065/H,50 Kildare RoadBristolBS4 1PS,Two storey side extension.,GRANTED subject to condition(s),GRANTED subject to condition(s),354770944.0,0,0,174820,12,BS4 1PS
2165,174836,12/01692/H,42 FairwayBristolBS4 5DF,Double storey side and single storey rear and front extensions.,GRANTED subject to condition(s),GRANTED subject to condition(s),-52196352.0,0,0,174836,12,BS4 5DF
2170,174845,12/02060/F,24A Knowle RoadBristolBS4 2EE,Separation of existing 2-storey flat into 2 no. 1-bed dwellings.,GRANTED subject to condition(s),GRANTED subject to condition(s),1503003648.0,0,0,174845,12,BS4 2EE
2173,174848,12/02067/H,27 Broad WalkBristolBS4 2RA,Three storey rear extension.,GRANTED subject to condition(s),GRANTED subject to condition(s),1157403648.0,0,0,174848,12,BS4 2RA
2188,174874,12/00796/F,Burger King Drive ThruSt Philips CausewayBristolBS4 3BD,New entrance and drive thru window and wall cladding.,GRANTED subject to condition(s),GRANTED subject to condition(s),-595629056.0,0,0,174874,12,BS4 3BD
2189,174875,12/00797/A,Burger King Drive ThruSt Philips CausewayBristolBS4 3BD,The replacement of the existing totem poles with newly designed internally illuminated totem signs.  A new fascia panel and relocation of the existing illuminated logo to the drive thru wall cladding and the replacement of this signage with a new internally illuminated logo sign. The existing 'Burger King' letter signage to be decorated red.  A new wall graphic and internally illuminated menu sign and 2 non-illuminated poster frame signs.,GRANTED subject to condition(s),GRANTED subject to condition(s),-854829056.0,0,0,174875,12,BS4 3BD
2197,174889,12/02123/F,33A Hampstead RoadBristolBS4 3HL,Proposed extension and alterations to an existing care home to provide additional accommodation for adults with mental health needs.,GRANTED subject to condition(s),GRANTED subject to condition(s),-1323163648.0,0,0,174889,12,BS4 3HL
2240,174998,12/02802/F,Unit F Firemark HousePioneer ParkBristolBS4 3QB,Installation of additional window to front elevation of building.,GRANTED subject to condition(s),GRANTED subject to condition(s),-372763648.0,0,0,174998,12,BS4 3QB
2290,175131,12/01732/H,24 Braikenridge RoadBristolBS4 3SW, Erection of single storey extension to rear.,GRANTED subject to condition(s),GRANTED subject to condition(s),2082770944.0,0,0,175131,12,BS4 3SW
2296,175139,12/01948/A,Tesco Stores LtdCallington RoadBristolBS4 5AY,Advertisements for the hand car wash.,GRANTED subject to condition(s),GRANTED subject to condition(s),1243803648.0,0,0,175139,12,BS4 5AY
2320,175222,12/03420/F,47 Crossways RoadBristolBS4 2SP,Proposed two storey side extension containing a self-contained dwellinghouse.,GRANTED subject to condition(s),GRANTED subject to condition(s),-693330944.0,0,0,175222,12,BS4 2SP
2329,175249,12/04840/H,14 Travers CloseBristolBS4 1XW,Combined single and two storey rear extension.,GRANTED subject to condition(s),GRANTED subject to condition(s),-1161665536.0,0,0,175249,12,BS4 1XW
2344,175285,12/02392/H,2 Highworth RoadBristolBS4 4AG,"Removal of shopfront and construction of new, splayed bay. Erection of decking in rear garden. Construction of new rear roof to utility room.",GRANTED subject to condition(s),GRANTED subject to condition(s),-1902930944.0,0,0,175285,12,BS4 4AG
2351,175307,12/04728/F,Unit A Bath Road Retail ParkTramway RoadBristolBS4 3LP,"Alterations to Unit A including its partial demolition, insertion of mezzanine floor and re-cladding together with the erection of unit for class D2 (gym) use and associated car park, servicing and landscape alterations. (Major application)",GRANTED subject to condition(s),GRANTED subject to condition(s),-556865536.0,0,0,175307,12,BS4 3LP
2352,175311,12/04799/A,Natwest Bank290 Wells RoadKnowleBristolBS4 2QA,"Fascia, projecting sign, nameplate, A1 posters, plasma screen, ATM surround, Car Park sign.",GRANTED subject to condition(s),GRANTED subject to condition(s),-124865536.0,0,0,175311,12,BS4 2QA
2371,175349,12/03103/F,Tesco Stores LtdCallington RoadBristolBS4 5AY,Installation of a canopy over the space formerly taken up by 8 parking spaces within the store car park.,GRANTED subject to condition(s),GRANTED subject to condition(s),-1643730944.0,0,0,175349,12,BS4 5AY
2386,175388,12/01391/H,71 Buller RoadBristolBS4 2LW,Single storey extension to rear and raised deck.,GRANTED subject to condition(s),GRANTED subject to condition(s),2082770944.0,0,0,175388,12,BS4 2LW
2406,175435,12/01526/H,59 Winchester RoadBristolBS4 3NH,Construction of conservatory to the rear of the property.,GRANTED subject to condition(s),GRANTED subject to condition(s),-1780196352.0,0,0,175435,12,BS4 3NH
2440,175512,12/03512/H,3 Conway RoadBristolBS4 3RE,Single storey rear extension.,GRANTED subject to condition(s),GRANTED subject to condition(s),-1038930944.0,0,0,175512,12,BS4 3RE
2479,175604,12/03596/F,BOCWhitby RoadBristolBS4 3QH,Construction of new gas and gear building and relocation of staff car park.,GRANTED subject to condition(s),GRANTED subject to condition(s),1725869056.0,0,0,175604,12,BS4 3QH
2486,175629,12/01159/F,Co-Operative StorePetrol Service StationSouth Bristol Business ParkRowan Farm RoadBristolBS4 1US,Installation of new external roller shutters to shop front glazing and entrance door. New guides and external housing to be provided to the Co-operative Food Store.,GRANTED subject to condition(s),GRANTED subject to condition(s),700370944.0,0,0,175629,12,BS4 1US
2500,175660,12/03272/H,78 Broad WalkBristolBS4 2RE,Front porch extension and rear single storey extension.,GRANTED subject to condition(s),GRANTED subject to condition(s),1441636352.0,0,0,175660,12,BS4 2RE
2502,175665,12/03576/H,35 Langton RoadBristolBS4 4ER,Two storey rear extension.,GRANTED subject to condition(s),GRANTED subject to condition(s),-1298130944.0,0,0,175665,12,BS4 4ER
2517,175703,12/02471/H,20 Bayham RoadBristolBS4 2DY,Single storey rear extension to enlarge the kitchen comprising of raised decking with canopy over and timber screen to the side.,GRANTED subject to condition(s),GRANTED subject to condition(s),-1150363648.0,0,0,175703,12,BS4 2DY
2530,175721,12/00618/H,13 Hurst RoadBristolBS4 1HF,"Single storey front rear and side extension to provide porch, garage and kitchen extension.",GRANTED subject to condition(s),GRANTED subject to condition(s),-1632429056.0,0,0,175721,12,BS4 1HF
2597,175878,12/00877/H,8 St Brelades GroveBristolBS4 4QJ,Proposed single storey rear extension.,GRANTED subject to condition(s),GRANTED subject to condition(s),-595629056.0,0,0,175878,12,BS4 4QJ
2598,175879,12/01095/H,14 Condover RoadBristolBS4 4TE,Single storey rear and side extension to provide additional living accommodation.,GRANTED subject to condition(s),GRANTED subject to condition(s),-854829056.0,0,0,175879,12,BS4 4TE
2616,175910,12/04544/F,117 Birchwood RoadBristolBS4 4RB,"Conversion and extension of existing dwelling to form 2 dwellings following demolition of existing single storey side extensions, and construction of 2 dwellings (one either side of retained dwelling).",GRANTED subject to condition(s),GRANTED subject to condition(s),-1766465536.0,0,0,175910,12,BS4 4RB
2621,175923,12/03835/F,427 Wells RoadKnowleBristolBS4 2QW,Single storey extension to rear to extend existing shop premises.,GRANTED subject to condition(s),GRANTED subject to condition(s),-1791498240.0,0,0,175923,12,BS4 2QW
2646,175966,12/02134/H,3 Nightingale ValleyBristolBS4 4DY,"Two storey rear extension, new window, front balcony and porch.",GRANTED subject to condition(s),GRANTED subject to condition(s),-397796352.0,0,0,175966,12,BS4 4DY
2663,175996,12/03359/H,14 Crowndale RoadBristolBS4 2DZ,Loft conversion with rear pitched roof dormer.,GRANTED subject to condition(s),GRANTED subject to condition(s),-1902930944.0,0,0,175996,12,BS4 2DZ
2676,176020,12/03360/F,Land At Tramway Road(former Prospect School)BristolBS4 3DS,"Erection of proposed part single, part two storey public house/restaurant, car parking, landscaping, play equipment and external areas.",GRANTED subject to condition(s),GRANTED subject to condition(s),-1877898240.0,0,0,176020,12,BS4 3DS
2687,176047,12/02149/F,ITV WestBath RoadBrislingtonBristolBS4 3AP,Change of use of Zone 10 from Use Class B1 to Use Class D1 (Pilates Studio),GRANTED subject to condition(s),GRANTED subject to condition(s),-27163648.0,0,0,176047,12,BS4 3AP
2696,176061,12/02634/H,26 Haverstock RoadBristolBS4 2BZ,Single storey rear extension to enlarge kitchen/dining room.,GRANTED subject to condition(s),GRANTED subject to condition(s),-1582363648.0,0,0,176061,12,BS4 2BZ
2700,176070,12/02693/H,16 Hill CrestBristolBS4 2UN,Proposed two storey side extension.,GRANTED subject to condition(s),GRANTED subject to condition(s),-718363648.0,0,0,176070,12,BS4 2UN
2717,176110,12/04358/A,City MotorsCastle CourtBristolBS4 3AX,2 Fascia sings. 1 4.2 m high entrance gate with illuminated logo. 1. 6.5m high pylon with illuminated logos. 1 set of 3 12m high flags.,GRANTED subject to condition(s),GRANTED subject to condition(s),109301760.0,0,0,176110,12,BS4 3AX
2746,176158,12/02324/H,63 Pendennis ParkBristolBS4 4JL,Proposed construction of a detached garage to the rear of an existing residential site.,GRANTED subject to condition(s),GRANTED subject to condition(s),-718363648.0,0,0,176158,12,BS4 4JL
2753,176168,12/02670/H,22 Grantson CloseBristolBS4 4NA,Single storey side extension.,GRANTED subject to condition(s),GRANTED subject to condition(s),-372763648.0,0,0,176168,12,BS4 4NA
2783,176230,12/02441/H,39 St Davids CrescentBristolBS4 4BY,Proposed two storey rear extension.,GRANTED subject to condition(s),GRANTED subject to condition(s),-977563648.0,0,0,176230,12,BS4 4BY
2816,176325,12/02804/A,803-805 Bath RoadBrislingtonBristolBS4 5NL,"Installation of replacement signage to include three fascia signs, a free standing, single sided entrance sign, two wall-mounted service sign and a double-sided, free standing pylon sign with illuminated letters and logos. All signs to be internally illuminated.",GRANTED subject to condition(s),GRANTED subject to condition(s),-459163648.0,0,0,176325,12,BS4 5NL
2836,176383,12/00832/F,81-83 Sandy Park RoadBristolBS4 3PG,Proposed conversion of existing first floor residential accommodation into 2no. self-contained flats together with ancillary ground floor works.,GRANTED subject to condition(s),GRANTED subject to condition(s),-595629056.0,0,0,176383,12,BS4 3PG
2865,176456,12/04978/H,77 Queenshill RoadBristolBS4 2XQ,Single storey rear extension.,GRANTED subject to condition(s),GRANTED subject to condition(s),-643265536.0,0,0,176456,12,BS4 2XQ
2867,176459,12/04983/H,2 Queenshill RoadBristolBS4 2XJ,First floor side dormer window extension.,GRANTED subject to condition(s),GRANTED subject to condition(s),-1420865536.0,0,0,176459,12,BS4 2XJ
2872,176471,12/00935/H,10 Condover RoadBristolBS4 4TE,Single storey side and rear extensions.,GRANTED subject to condition(s),GRANTED subject to condition(s),-1546029056.0,0,0,176471,12,BS4 4TE
2890,176499,12/03008/H,27 Stoneleigh CrescentBristolBS4 2RF,Proposed single storey side and rear extension and replacement garage.,GRANTED subject to condition(s),GRANTED subject to condition(s),-1730130944.0,0,0,176499,12,BS4 2RF
2918,176579,12/01909/FB,Ilminster Avenue Primary SchoolIlminster AvenueBristolBS4 1BX,Proposed extension to Ilminster Avenue Primary School to create a new toilet block,GRANTED subject to condition(s),GRANTED subject to condition(s),-1755163648.0,0,0,176579,12,BS4 1BX
2927,176606,12/01223/F,143 Kenmare RoadBristolBS4 1PH,Garage conversion in to one bedroom annexe.,GRANTED subject to condition(s),GRANTED subject to condition(s),293403648.0,0,0,176606,12,BS4 1PH
2948,176660,12/04419/F,17 Hartcliffe RoadBristolBS4 1EZ,"Proposed two storey, side and single storey rear extension to form 2 no. self-contained, 2-bedroom flats.",GRANTED subject to condition(s),GRANTED subject to condition(s),1232501760.0,0,0,176660,12,BS4 1EZ
2970,176706,12/03064/H,62 Barnstaple RoadBristolBS4 1JP,Replacement single storey rear extension.,GRANTED subject to condition(s),GRANTED subject to condition(s),1873636352.0,0,0,176706,12,BS4 1JP
3005,176777,12/04487/F,Wicklea Youth CentreWick RoadBristolBS4 4HU,New Junior School (Major application).,GRANTED subject to condition(s),GRANTED subject to condition(s),1689534464.0,0,0,176777,12,BS4 4HU
3013,176789,12/04635/F,68 Churchill RoadBristolBS4 3RW,Demolition of existing commercial premises and construction of 1 no. one-bedroom and 2 no. two bedroom flat units together with communal cycle and bin stores.,GRANTED subject to condition(s),GRANTED subject to condition(s),-1766465536.0,0,0,176789,12,BS4 3RW
3039,176842,12/03811/H,518 Bath RoadBrislingtonBristolBS4 3JY,"Demolition of existing garage, and construction of new garage and store.",GRANTED subject to condition(s),GRANTED subject to condition(s),1985069056.0,0,0,176842,12,BS4 3JY
3044,176847,12/03919/H,100 Broad WalkBristolBS4 2RS,New driveway access to the property.,GRANTED subject to condition(s),GRANTED subject to condition(s),2146567168.0,0,0,176847,12,BS4 2RS
3083,176918,12/04869/F,107 Talbot RoadBristolBS4 2NS,Two storey side extension containing 2 no. self-contained flats.,GRANTED subject to condition(s),GRANTED subject to condition(s),-1161665536.0,0,0,176918,12,BS4 2NS
3088,176934,12/04965/F,Initial Washroom SolutionsUnit 9 Eldonwall Trading EstateEldon WayBristolBS4 3QQ,External alterations - 7 no windows to rear elevation.,GRANTED subject to condition(s),GRANTED subject to condition(s),911934464.0,0,0,176934,12,BS4 3QQ
3099,176958,12/03878/F,Unit 5 Toys 'R' UsBrislington Retail ParkBath RoadBrislingtonBristolBS4 5NG,"Decommissioning and strip out of redundant external chiller unit and installation of 4no. roof mounted natural ventilation turrets along with the formation of 5no. openings to the side walls at high level, 3no. to rear elevation & 2no. to the front elevation.",GRANTED subject to condition(s),GRANTED subject to condition(s),-668298240.0,0,0,176958,12,BS4 5NG
3107,176972,12/04064/LA,625 Bath RoadBrislingtonBristolBS4 3LF,Alterations and conversion of Lynwood House and associated Mews building into 6 separate residential units.  Demolition of ground floor extension.,GRANTED subject to condition(s),GRANTED subject to condition(s),368501760.0,0,0,176972,12,BS4 3LF
3134,177029,12/03665/F,City MotorsCastle CourtBristolBS4 3AX,Alteration to Workshop and Showroom frontages,GRANTED subject to condition(s),GRANTED subject to condition(s),1380269056.0,0,0,177029,12,BS4 3AX
3136,177032,12/03605/F,Medical Services Examination CentreDepartment For Work And PensionsFlowers HillBristolBS4 5LA,Temporary Portakabin building and link structure to the existing building providing 3 no. additional consulting rooms for the medical centre.,GRANTED subject to condition(s),GRANTED subject to condition(s),689069056.0,0,0,177032,12,BS4 5LA
3190,177135,12/00889/F,308 Wells RoadKnowleBristolBS4 2QG,Change of Use of ground floor from Class A1 (Retail) to Class A3 (Restaurant).,GRANTED subject to condition(s),GRANTED subject to condition(s),354770944.0,0,0,177135,12,BS4 2QG
3210,177170,12/04423/H,54 Lisburn RoadBristolBS4 1NE,Two storey side extension.,GRANTED subject to condition(s),GRANTED subject to condition(s),1146101760.0,0,0,177170,12,BS4 1NE
3214,177179,12/04244/A,Tesco Stores LtdMarmalade LaneBristolBS4 5AY,Signage to proposed Click and Collect (Home Shopping) Canopy.,GRANTED subject to condition(s),GRANTED subject to condition(s),1059701760.0,0,0,177179,12,BS4 5AY
3301,177338,12/04610/F,Knowle Cricket ClubBroad WalkBristolBS4 2RD,Proposed single storey store building.,GRANTED subject to condition(s),GRANTED subject to condition(s),850567168.0,0,0,177338,12,BS4 2RD
3306,177359,12/02692/H,6 Lucas CloseBristolBS4 5DG,Double storey side and single storey rear extension.,GRANTED subject to condition(s),GRANTED subject to condition(s),-113563648.0,0,0,177359,12,BS4 5DG
3308,177366,12/03580/F,"457,459, 461 & 463 Bath RoadBrislingtonBristolBS4 3JU","Proposed replacement of existing, timber framed windows and doors with new, UPVC windows to front and rear elevations.",GRANTED subject to condition(s),GRANTED subject to condition(s),-1791498240.0,0,0,177366,12,BS4 3JU
3347,177461,12/03124/A,Unit 1CBrislington Retail ParkBath RoadBrislingtonBristolBS4 5NG,Signage  to be displayed on retail unit frontage and side elevation. Both fascia signs are to be illuminated and concession brand signs below main fascia sign are non illuminated.,GRANTED subject to condition(s),GRANTED subject to condition(s),-1730130944.0,0,0,177461,12,BS4 5NG
3348,177462,12/03142/F,2 Hampstead Road BrislingtonBristolBS4 3HJ,Demolition of garage/store and construction of new single storey unit to create a two-bedroom dwelling with amenity space incorporating bin and bicycle store.,GRANTED subject to condition(s),GRANTED subject to condition(s),-1766465536.0,0,0,177462,12,BS4 3HJ
3364,177481,12/00685/H,59 Calcott RoadBristolBS4 2HE,Two storey & single storey extension to the rear of the property. Additional window to existing building.,GRANTED subject to condition(s),GRANTED subject to condition(s),-1459629056.0,0,0,177481,12,BS4 2HE
3366,177485,12/00751/H,209 Wick RoadBristolBS4 4HP,Proposed pool house and renovation of existing summer house.,GRANTED subject to condition(s),GRANTED subject to condition(s),-336429056.0,0,0,177485,12,BS4 4HP
3367,177486,12/00752/LA,209 Wick RoadBristolBS4 4HP,Proposed pool house and renovation of existing summer house.,GRANTED subject to condition(s),GRANTED subject to condition(s),-250029056.0,0,0,177486,12,BS4 4HP
3371,177491,12/00757/A,Unit 4ABrislington Retail ParkBath RoadBrislingtonBristolBS4 5NG,Installation of 4 no. main fascia signs.,GRANTED subject to condition(s),GRANTED subject to condition(s),1996370944.0,0,0,177491,12,BS4 5NG
3382,177526,12/00665/H,29 Hillsborough RoadBristolBS4 3QW,Proposed single storey side extension to provide larger  kitchen and downstairs wc.,GRANTED subject to condition(s),GRANTED subject to condition(s),-595629056.0,0,0,177526,12,BS4 3QW
3390,177551,12/02133/H,35A West Town LaneBrislingtonBristolBS4 5DD,Proposed porch and vehicular access,GRANTED subject to condition(s),GRANTED subject to condition(s),34203648.0,0,0,177551,12,BS4 5DD
3393,177558,12/02782/F,Kiosk Outside Of 27Somerdale AvenueBristolBS4 2XN,Installation of a control kiosk on the public footway outside 27 Somerdale Avenue.,GRANTED subject to condition(s),GRANTED subject to condition(s),836836352.0,0,0,177558,12,BS4 2XN
3403,177572,12/04534/H,11 Spring GardensBristolBS4 2TZ,Front and side two storey extensions and associated works (Revised application),GRANTED subject to condition(s),GRANTED subject to condition(s),1578101760.0,0,0,177572,12,BS4 2TZ
3412,177589,12/01018/H,42 Churchill RoadBristolBS4 3RW,Demolition of existing extensions. Erection of a single storey rear extension.,GRANTED subject to condition(s),GRANTED subject to condition(s),959570944.0,0,0,177589,12,BS4 3RW
3429,177632,12/04203/F,Hampstead HouseKings RoadBrislingtonBristolBS4 3HH,"Partial demolition, extension and conversion of existing dwelling to create five flats, communal amenity space, off-street car parking, cycle and refuse storage.",GRANTED subject to condition(s),GRANTED subject to condition(s),973301760.0,0,0,177632,12,BS4 3HH
3447,177668,12/01602/F,64 Leinster AvenueBristolBS4 1NL,Change of use from office to restaurant/takeaway (Use Class A5). proposed external extract flue.,GRANTED subject to condition(s),GRANTED subject to condition(s),2082770944.0,0,0,177668,12,BS4 1NL
3495,177811,12/01598/H,17 Stockwood CrescentBristolBS4 1AN,Garden shed at rear..,GRANTED subject to condition(s),GRANTED subject to condition(s),1996370944.0,0,0,177811,12,BS4 1AN
3531,177889,12/03823/F,South Bristol Sports CentreWest Town LaneHengroveBristolBS4 5DQ,"Proposed erection of new floodlit mini/junior pitches with fencing and acoustic screen, relocation of cricket nets and bowls green, erection of bowls pavilion, extension to existing car park and landscaping works.(Major application)",GRANTED subject to condition(s),GRANTED subject to condition(s),1232501760.0,0,0,177889,12,BS4 5DQ
3541,177921,12/05337/H,124 Broad WalkBristolBS4 2RS,Creation of dropped kerb to provide vehicle access and parking on driveway of property.,GRANTED subject to condition(s),GRANTED subject to condition(s),-1914232832.0,0,0,177921,12,BS4 2RS
3542,177922,12/05372/H,40 Hungerford GardensBristolBS4 5HB,Single storey rear and side extension.,GRANTED subject to condition(s),GRANTED subject to condition(s),-618232832.0,0,0,177922,12,BS4 5HB
3596,178034,12/02923/FB,Ilminster Avenue Specialist Nursery SchoolIlminster AvenueBristolBS4 1BX,Proposed canopy to form covered play area to art room.,GRANTED subject to condition(s),GRANTED subject to condition(s),1873636352.0,0,0,178034,12,BS4 1BX
3598,178040,12/05688/F,46 Talbot RoadBristolBS4 2NW,Erection of a 4 bed dwelling to the side of No 46 Talbot Road.,GRANTED subject to condition(s),GRANTED subject to condition(s),332167168.0,0,0,178040,12,BS4 2NW
3600,178042,13/00416/H,24 Alard RoadBristolBS4 1HZ,Double storey side extension.,GRANTED subject to condition(s),GRANTED subject to condition(s),-1889200128.0,0,0,178042,13,BS4 1HZ
3601,178044,13/00636/H,18 Farnaby CloseBristolBS4 1QL,fProposed two storey rear extension.,GRANTED subject to condition(s),GRANTED subject to condition(s),-334000128.0,0,0,178044,13,BS4 1QL
3609,178062,13/00860/VP,241 Wick RoadBristolBS4 4HR,1-Copper Beech-Clean out crown and thin 15%. 2-Wild Cherry-Clean out crown. 3-Lilac-Fell. 4-Lilac-Cut back leader resting on fence to strong upright growths. 5-Over grown Shrub-Cut down to a 30cm coppice stool. 6-Lilac(growing through holly)-Remove. 7-Ash-Crown clean and thin 10% raise crown canopy to 3m.,GRANTED,GRANTED,789199872.0,0,0,178062,13,BS4 4HR
3613,178076,12/05107/VP,15 Lanes EndBristolBS4 5DP,T1 - Poplar to reduce by 20-30% protected by tree preservation order no. 669.,GRANTED,GRANTED,-124865536.0,0,0,178076,12,BS4 5DP
3631,178121,13/00492/H,15 Montrose ParkBristolBS4 4JE,"Single storey rear extension, two storey rear extension & rear-roof dormer to facilitate loft conversion.",GRANTED subject to condition(s),GRANTED subject to condition(s),357199872.0,0,0,178121,13,BS4 4JE
3638,178135,13/00637/H,26 Haverstock RoadBristolBS4 2BZ,Single storey rear extension to enlarge kitchen/dining room.,GRANTED subject to condition(s),GRANTED subject to condition(s),-247600128.0,0,0,178135,13,BS4 2BZ
3639,178137,13/00638/F,Unit 8Eldonwall Trading EstateEldon WayBristolBS4 3QQ,Proposed installation of a wash bay and enclosure.,GRANTED subject to condition(s),GRANTED subject to condition(s),1566799872.0,0,0,178137,13,BS4 3QQ
3644,178142,13/00612/F,39 Maxse RoadBristolBS4 2JQ,Erection of a lock-up in rear garden with access from Marston Road.,GRANTED subject to condition(s),GRANTED subject to condition(s),443599872.0,0,0,178142,13,BS4 2JQ
3648,178156,12/05443/F,Birchwood House35 Birchwood RoadBristolBS4 4QL,"Demolition of former Bristol City Elderly Persons Homes (Birchwood House). Erection of 14 dwellings and associated car parking, hard and soft landscaping. (Major application).",GRANTED subject to condition(s),GRANTED subject to condition(s),1628167168.0,0,0,178156,12,BS4 4QL
3670,178219,12/05081/FB,St Annes Infant SchoolBloomfield RoadBristolBS4 3QJ,"Demolition of small extension, lowering of windows to form doorways, new canopies over outside teaching spaces, entrance, link and fencing on the playground to control access.",GRANTED subject to condition(s),GRANTED subject to condition(s),1862334464.0,0,0,178219,12,BS4 3QJ
3682,178247,13/00407/A,Heritage Bristol Van CentreUnit DPioneer ParkBristolBS4 3QL,3 x 48 sheet poster boards to the Whitby Road (North) elevation.,GRANTED subject to condition(s),GRANTED subject to condition(s),-938800128.0,0,0,178247,13,BS4 3QL
3685,178253,13/00458/F,BOCWhitby RoadBristolBS4 3QH,Construction of concrete hardstanding and free standing sort canopy.,GRANTED subject to condition(s),GRANTED subject to condition(s),-1457200128.0,0,0,178253,13,BS4 3QH
3686,178254,13/00538/F,1 Winchester RoadBristolBS4 3NF,Change of use of commercial premises to a new one bedroomed house and associated works,GRANTED subject to condition(s),GRANTED subject to condition(s),-74800128.0,0,0,178254,13,BS4 3NF
3688,178257,12/05247/F,4 & 5 Enterprise Trade CentreRoman Farm RoadBristolBS4 1UN,"Change of use to class B1 (c), B2, B8 and/or D1 veterinary practice including ancillary showroom and trade counter sales.",GRANTED subject to condition(s),GRANTED subject to condition(s),-2000632832.0,0,0,178257,12,BS4 1UN
