OBJECTID,REFVAL,ADDRESS,PROPOSAL,STATUS,DECISION,DEC_DATE,SHAPE.AREA,SHAPE.LEN,OBJECTID_1
174974,12/00852/H,"34 Imperial WalkBristolBS14 9AE","Refurbishment of  existing first floor rear lean - to conservatory, adding an elevated veranda from the conservatory to be accessed by new double doors  and from an existing door to the rear of the adjacent garage.",GRANTED subject to condition(s),GRANTED subject to condition(s),-1755163648,0,0,174974
174977,12/01754/H,"7 Hollymead LaneBristolBS9 1LN",Conversion of the existing garage into ancillary  living accommodation and extension below existing balcony.,GRANTED subject to condition(s),GRANTED subject to condition(s),120603648,0,0,174977
174978,12/01405/LC,"2 Old Ashley HillBristolBS6 5JB",Complete demolition of 2 adjoining garage buildings (2 & 3-parking space) and removal of ground slabs and foundations.,GRANTED subject to condition(s),GRANTED subject to condition(s),516269056,0,0,174978
174980,12/01765/H,"37 Old Sneed RoadBristolBS9 1ES","Proposed ground and first floor extension to property; Proposed new skylight in roof; New driveway position; New railings and gateway to proposed new driveway.",GRANTED subject to condition(s),GRANTED subject to condition(s),-311396352,0,0,174980
174982,12/02296/H,"14 Broadway RoadBishopstonBristolBS7 8ES",Alter and extend existing pitched roof extension to form a wider flat roof rear extension.,GRANTED subject to condition(s),GRANTED subject to condition(s),898203648,0,0,174982
174984,12/01764/F,"1A - 2A Avon CrescentBristolBS1 6XQ",Conversion of first floor seating area to create a 3 bedroom flat. Internal alterations to second floor flat and alterations to ground floor restaurant. Installation of CCTV cameras on front and rear elevations.,GRANTED subject to condition(s),GRANTED subject to condition(s),-643265536,0,0,174984
174985,12/01810/LA,"1A - 2A Avon CrescentBristolBS1 6XQ",Conversion of first floor seating area to create a 3 bedroom flat. Internal alterations to second floor flat and alterations to ground floor restaurant. Installation of CCTV cameras on front and rear elevations.,GRANTED subject to condition(s),GRANTED subject to condition(s),-643265536,0,0,174985
174987,12/01949/A,"58 Filton RoadBristolBS7 0PB","New shopfront, including fascia and blade signage.",GRANTED subject to condition(s),GRANTED subject to condition(s),-52196352,0,0,174987
174988,12/01955/A,"Unit 2178 Church RoadRedfieldBristolBS5 9HX",Internally illuminated individually cut letters and logo and 1 no. illuminated projecting sign.,GRANTED subject to condition(s),GRANTED subject to condition(s),1503003648,0,0,174988
174992,12/01964/F,"50 Parson StreetBristolBS3 5QG","Conversion of existing dwelling house into 2No. 1 bed flats, and associated external alterations including proposed single storey rear extension.",GRANTED subject to condition(s),GRANTED subject to condition(s),34203648,0,0,174992
174997,12/02387/H,"9 Downs Cote DriveBristolBS9 3TP",Single storey side extension.,GRANTED subject to condition(s),GRANTED subject to condition(s),-1841563648,0,0,174997
174998,12/02802/F,"Unit F Firemark HousePioneer ParkBristolBS4 3QB",Installation of additional window to front elevation of building.,GRANTED subject to condition(s),GRANTED subject to condition(s),-372763648,0,0,174998
175000,12/02797/F,"St Josephs Pre School & St Josephs Church HallForest RoadBristolBS16 3QT",Proposed new brick wall and double gate to replace the existing iron railings and gate to the front of the premises.,GRANTED subject to condition(s),GRANTED subject to condition(s),-372763648,0,0,175000
175001,12/03282/F,"Sefton Park SchoolAshley Down RoadBristolBS7 9BJ",Erection of fencing around multi-game muga.,GRANTED subject to condition(s),GRANTED subject to condition(s),602669056,0,0,175001
175002,12/03213/F,"Land To Rear Of 14 Chapel RoadBishopsworthBristolBS13 7RR",Erection of 1 no. two bedroom dwelling.,GRANTED subject to condition(s),GRANTED subject to condition(s),-1359498240,0,0,175002
175009,12/04863/F,"Former Boys BrigadeVivian StreetBristolBS3 4LW","Conversion of existing former Boys Brigade premises into four town houses and associated external alterations, including the 8no. rooflight windows (4 each side) and installation of solar panels on the southern facing roof slope. Proposed demolition of adjoining hall extension to facilitate the creation of off-street garage parking and hard and soft landscaping.",GRANTED subject to condition(s),GRANTED subject to condition(s),-902465536,0,0,175009
175010,12/04861/LA,"Huller House And Cheese WarehouseRedcliff BacksBristolBS1 1HX","Conversion and extension of Huller House and the Cheese Warehouse to residential apartments (Use Class C3) and B1 office space to the basement of Huller House, with altered site access, vehicle parking, refuse storage and landscaping. Formation of quayside walkway (Major application).",GRANTED subject to condition(s),GRANTED subject to condition(s),961999872,0,0,175010
175011,12/00634/FB,"St George Church Of England Vc Primary SchoolQueens ParadeBristolBS1 5XJ",Replace the existing metal windows with white powder coated aluminium windows with double glazed units.,GRANTED subject to condition(s),GRANTED subject to condition(s),-854829056,0,0,175011
175015,12/00762/A,"Ibis HotelExplore LaneBristolBS1 5TY",New signs to update hotel to new brand standards.,GRANTED subject to condition(s),GRANTED subject to condition(s),120603648,0,0,175015
175016,12/00763/A,"Ibis HotelAnvil StreetBristolBS2 0PS",New signs to update hotel to new brand standards,GRANTED subject to condition(s),GRANTED subject to condition(s),-1114029056,0,0,175016
175018,12/00772/H,"5 Parnall RoadBristolBS16 3JF",Single storey rear extension.,GRANTED subject to condition(s),GRANTED subject to condition(s),-595629056,0,0,175018
175019,12/00769/F,"Site Adjacent  To 81 Wigton CrescentBristolBS10 6DZ",Construction of 3no. bed house.,GRANTED subject to condition(s),GRANTED subject to condition(s),-941229056,0,0,175019
175020,12/00781/H,"25 Headford AvenueBristolBS5 8PD",Proposed garage at back of rear garden.,GRANTED subject to condition(s),GRANTED subject to condition(s),-336429056,0,0,175020
175026,12/01169/FB,"B BondSmeaton RoadBristolBS1 6EE",Replacement of window cills and damaged keystones. Removal of security bars.,GRANTED subject to condition(s),GRANTED subject to condition(s),700370944,0,0,175026
175027,12/01170/LA,"B BondSmeaton RoadBristolBS1 6XN",Replacement of window cills and damaged keystones. Removal of security bars.,GRANTED subject to condition(s),GRANTED subject to condition(s),-1866596352,0,0,175027
175030,12/01180/LA,"At BristolAnchor RoadBristolBS1 5DB",Temporary installation of a vinyl wrap screen surround to be placed either side of the large screen located on At-Bristol from 23/04/2012 to 30/09/2012 to advertise the big screen and live site and the Olympic and Paralympic games 2012 logos.,GRANTED subject to condition(s),GRANTED subject to condition(s),-250029056,0,0,175030
175032,12/01264/H,"2 Mariners DriveBristolBS9 1QJ",Extension to existing boundary wall incorporating a pedestrian gate.,GRANTED subject to condition(s),GRANTED subject to condition(s),1305170944,0,0,175032
175033,12/01489/H,"10 College RoadCliftonBristolBS8 3HZ",Removal of external staircase up to first floor level. Provision of small balcony with spiral staircase from ground floor level to basement level. 2 No. french doors to serve balcony at ground floor and at first floor level with Juliet balcony - all to rear elevation.,GRANTED subject to condition(s),GRANTED subject to condition(s),1823570944,0,0,175033
175034,12/01490/LC,"10 College RoadCliftonBristolBS8 3HZ",Removal of external staircase up to first floor level. Provision of small balcony with spiral staircase from ground floor level to basement level. 2 No. french doors to serve balcony at ground floor and at first floor level with Juliet balcony - all to rear elevation.,GRANTED subject to condition(s),GRANTED subject to condition(s),1823570944,0,0,175034
175035,12/01491/F,"322 - 324  Two Mile Hill RoadBristolBS15 1AJ",External raised smoking area and lift with shaft.,GRANTED subject to condition(s),GRANTED subject to condition(s),1564370944,0,0,175035
175037,12/01493/P,"Public ConveniencesKingswayBristol","Outline application, with all matters reserved for the construction of flats to replace public toilets.",GRANTED subject to condition(s),GRANTED subject to condition(s),-2125796352,0,0,175037
175042,12/01498/H,"6 Matthews CloseBristolBS14 8NL",Conservatory to the rear.,GRANTED subject to condition(s),GRANTED subject to condition(s),1909970944,0,0,175042
175044,12/01507/F,"10 Surrey StreetBristol",Replacement of existing flat roof with a mansard roof and creation of self-contained flat in roof space.,GRANTED subject to condition(s),GRANTED subject to condition(s),2082770944,0,0,175044
175047,12/01828/F,"59 The HorsefairBristolBS1 3JP","Change of use of existing retail unit (Use Class A1) to ""Sui Generis"" to accommodate a Tanning Studio/Health Spa with office and staff accommodation above at first and second floor levels.",GRANTED subject to condition(s),GRANTED subject to condition(s),207003648,0,0,175047
175048,12/01963/F,"188A Cranbrook RoadBristolBS6 7QT","Demolition of single storey projection at the rear of the property, erection of new single storey extension.",GRANTED subject to condition(s),GRANTED subject to condition(s),1243803648,0,0,175048
175049,12/01815/H,"118 Ringwood CrescentBristolBS10 5QY",Proposed single storey extension.,GRANTED subject to condition(s),GRANTED subject to condition(s),-1866596352,0,0,175049
175055,12/01976/F,"30 Abingdon RoadBristolBS16 3NY","Proposed two storey, side extension to accommodate a 1-bed dwellinghouse with associated car parking.",GRANTED subject to condition(s),GRANTED subject to condition(s),207003648,0,0,175055
175060,12/01967/H,"198 Stoke LaneWestburyBristolBS9 3RU","Build a dormer window to the front left of the house, above the garage.",GRANTED subject to condition(s),GRANTED subject to condition(s),-1866596352,0,0,175060
175061,12/04821/VP,"TowerleazeKnoll HillBristol",TPO 031. T5 Yew - prune back this overhanging specimen by up to 30% & shape to a more balanced form.,GRANTED,GRANTED,-1507265536,0,0,175061
175063,12/04828/H,"92 Park RoadStapletonBristolBS16 1AU",Formation of two dormers.,GRANTED subject to condition(s),GRANTED subject to condition(s),911934464,0,0,175063
175064,12/04823/VP,"Cedar Court/Westonian CourtGlenavon ParkBristol","TPO 058. T1 Copper Beech - Height reduction of up to 10%, reduction of profile width up to 15% on garage side and minimal reduction to balance crown. T2 Giant Redwood - Minimal height reduction of 1.5m maximum, side canopy reduction to improve profile by maximum of 1.5m Remove deadwood.",GRANTED,GRANTED,-902465536,0,0,175064
175066,12/04837/A,"174B Cheltenham RoadBristolBS6 5RE",Internally illuminated 1 no. fascia sign and 1 no. projecting sign.,GRANTED subject to condition(s),GRANTED subject to condition(s),2121534464,0,0,175066
175068,12/04843/X,"Land To Rear Of5 Kingsdown ParadeKingsdownBristol",Variation of condition no.17 of planning permission 11/00518/F for the construction of two semi-detached houses and works to existing building.,GRANTED subject to condition(s),GRANTED subject to condition(s),1739599872,0,0,175068
175069,12/04901/F,"Brooks HotelSt Nicholas StreetBristolBS1 1UB",An extension of the guest house accommodation to the existing roof terrace by the provision of 4 no. 'Airstream'  vintage trailers. A raised area of decking and additional emergency lighting.,GRANTED subject to condition(s),GRANTED subject to condition(s),-643265536,0,0,175069
175071,12/00643/F,"58A Alma Vale RoadBristolBS8 2HS",Proposed 1st floor 2-storey extension to dwelling.,GRANTED subject to condition(s),GRANTED subject to condition(s),959570944,0,0,175071
175073,12/00989/A,"McColls12-14 Gainsborough SquareBristolBS7 9XA",Retention of an illuminated sign on the automated teller machine.,GRANTED subject to condition(s),GRANTED subject to condition(s),9170944,0,0,175073
175074,12/00933/F,"Unit 302Dean RoadBristolBS11 8AT",Extension to existing warehouse.,GRANTED subject to condition(s),GRANTED subject to condition(s),-1780196352,0,0,175074
175075,12/01002/H,"149 Abbey RoadBristolBS9 3QH","Demolition of garage and erection of a single storey extension to side of house, to include a new room in place of garage, and shower room.",GRANTED subject to condition(s),GRANTED subject to condition(s),354770944,0,0,175075
175076,12/01148/H,"12 Elmhurst AvenueBristolBS5 6QJ",Single storey side extension.,GRANTED subject to condition(s),GRANTED subject to condition(s),959570944,0,0,175076
175077,12/01150/H,"9 Coaley RoadBristolBS11 9XD",Single storey rear extension .,GRANTED subject to condition(s),GRANTED subject to condition(s),-1114029056,0,0,175077
175086,12/02400/VP,"18 Owen GroveBristolBS9 4EH",Reduce crown top bny approx 10% and lateral growth by 10-15% of an oak (T1) in rear garden.,GRANTED,GRANTED,1503003648,0,0,175086
175094,12/02852/X,"Mortimer House Nursing HomeClifton Down RoadBristolBS8 4AE",Variation of condition 28 for planning permission 12/00052/F (Residential conversion of existing Grade II* listed property to incorporate 6 no. houses with associated car parking and landscape works.) - minor alterations to include insertion of a new window and amended internal layout.,GRANTED subject to condition(s),GRANTED subject to condition(s),1096036352,0,0,175094
175097,12/03051/VP,"25 Grange RoadBishopsworthBristolBS13 8LE",5m crown lift of a walnut (T1) in rear garden protected by tree preservation order no. 568.,GRANTED,GRANTED,1441636352,0,0,175097
175099,12/03053/VP,"Land Adjacent To 24Cotrith GroveBristolBS10 7NA",Fell a lime tree protected by tree preservation order no. 1033/R,GRANTED subject to condition(s),GRANTED subject to condition(s),1960036352,0,0,175099
175111,12/03680/H,"6 Cheyne RoadBristolBS9 2DH","Two storey side extensions and stepped extension on  back elevation at ground and 1st floor level; move position of garage.",GRANTED subject to condition(s),GRANTED subject to condition(s),-1791498240,0,0,175111
175118,12/04794/VP,"Adams CourtCumberland PlaceBristol",TPO 1209. Willow (T1) Pollard back to the previous pruning points approx 50% (4m-5m). This is to maintain the tree to a size suitable for the location.,GRANTED,GRANTED,-1507265536,0,0,175118
175120,12/00621/F,"1 Wine StreetBristolBS1 2BB",Installation of an ATM installed through the glazed shopfront as a through glass installation with ATM fascia only.,GRANTED subject to condition(s),GRANTED subject to condition(s),786770944,0,0,175120
175121,12/00691/X,"46 Hillburn RoadBristolBS5 7PW",Variation of condition 7 attached to planning permission 11/00104/F - to provide a revised roof form to the rear of the approved extension/flats.,GRANTED subject to condition(s),GRANTED subject to condition(s),-1718829056,0,0,175121
175122,12/00696/F,"20 West StreetBedminsterBristolBS3 3LG",Change of use from shop (Use Class A1) to one bedroom self-contained flat.,GRANTED subject to condition(s),GRANTED subject to condition(s),268370944,0,0,175122
175125,12/01637/FB,"Thomas Chattertons HouseRedcliffe WayBristolBS1 6NL",Change of use from residential to a cafe/restaurant (Use Class A3).,GRANTED subject to condition(s),GRANTED subject to condition(s),-1236763648,0,0,175125
175127,84/04371/F,"541 - 551 Fishponds RoadFishpondsBristolBS16 3AF","Extension to existing service building, extension to existing canopy.",GRANTED,GRANTED,,0,0,175127
175131,12/01732/H,"24 Braikenridge RoadBristolBS4 3SW", Erection of single storey extension to rear.,GRANTED subject to condition(s),GRANTED subject to condition(s),2082770944,0,0,175131
175132,12/01657/F,"2 West EndSouthvilleBristolBS3 1AU","Erection of a two storey, side extension to form a 1-bed dwelling with conversion of the existing dwelling to form 2 no. maisonettes and 1 no. flats.",GRANTED subject to condition(s),GRANTED subject to condition(s),-1643730944,0,0,175132
175133,12/01742/A,"Colston TowerColston StreetBristol","Installation of 3 no. new, internally illuminated, building name fascia signs.",GRANTED subject to condition(s),GRANTED subject to condition(s),-311396352,0,0,175133
175134,12/01659/F,"Colston TowerColston StreetBristol","Proposed alterations to the ground floor facade of Colston Tower with the addition of vertical, timber cladding, stainless steel balustrade and silver clad window frame and tiled shopfronts.",GRANTED subject to condition(s),GRANTED subject to condition(s),-311396352,0,0,175134
175135,12/01665/FB,"Withywood Area Office159 Four AcresBristolBS13 8QR",Change of use to allow its use as offices with a workshop (within Use Class B1).,GRANTED subject to condition(s),GRANTED subject to condition(s),-397796352,0,0,175135
175138,12/01921/F,"145 - 147 Church RoadRedfieldBristolBS5 9LA","Extension to first floor residential accommodation to form single storey, flat roof extension with glazing to elevation.",GRANTED subject to condition(s),GRANTED subject to condition(s),-1377244160,0,0,175138
175139,12/01948/A,"Tesco Stores LtdCallington RoadBristolBS4 5AY",Advertisements for the hand car wash.,GRANTED subject to condition(s),GRANTED subject to condition(s),1243803648,0,0,175139
175142,12/01932/P,"Anderson And Leese Building Brentry HospitalBrentry LaneBristolBS10 6NB","Outline planning application (including details of the proposed means of access) for residential development of up to 80 dwellings, including the demolition of Lewis House and change of use of Phoenix House to 3 no. 2-bed and 3 no. 1-bed flats. (Major application)",GRANTED subject to condition(s),GRANTED subject to condition(s),-1989330944,0,0,175142
175143,12/02090/F,"The Memorial StadiumBristol Rovers Football ClubFilton AvenueBristolBS7 0BF","Redevelopment of the site comprising the demolition of the stadium and all related structures, and erection of a foodstore with under-croft car parking, 65 residential units (houses and apartments) and community/commercial floorspace. Associated works comprising hard and soft landscaping, enlargement of vehicular access to Filton Avenue and the creation of a mini-roundabout on Filton Avenue, involving the demolition of nos. 29 and 31 Filton Avenue, and improvements to road junctions at Filton Avenue/Gloucester Road and Filton Avenue/Muller Road.  (Major application).",GRANTED subject to condition(s),GRANTED subject to condition(s),1084734464,0,0,175143
175144,12/02246/H,"17 Milford StreetBristolBS3 1EE",Single storey rear extension.,GRANTED subject to condition(s),GRANTED subject to condition(s),-1927963648,0,0,175144
175145,12/02143/H,"29 Brockhurst GardensBristolBS15 1BX",Proposed single storey side extension - garage.,GRANTED subject to condition(s),GRANTED subject to condition(s),-1582363648,0,0,175145
175147,12/02269/H,"26 Wathen RoadBristolBS6 5BY",Extension and alterations to existing house. (Amended application).,GRANTED subject to condition(s),GRANTED subject to condition(s),207003648,0,0,175147
175151,12/02262/VP,"Beehive Day Services Centre19A Stretford RoadBristolBS5 7AW",T10= Populus nigra to be re-pollarded to last points as tree has began to form dead wood and structural weaknesses (see attached report). T9= Tilia europaea tobe re-pollarded to last points as tree has began to form dead wood and structural weaknesses in decay at base of stem (see attached report).,GRANTED,GRANTED,1330203648,0,0,175151
175168,12/04697/F,"First Floor Flat23 Freeland PlaceBristolBS8 4NP",New external access stair. New parapet to flat roof. New front door. Removal of existing staircase.,GRANTED subject to condition(s),GRANTED subject to condition(s),566334464,0,0,175168
175170,12/04698/LA,"First Floor Flat23 Freeland PlaceBristolBS8 4NP",New external access stair. New parapet to flat roof. New front door. Removal of existing staircase.,GRANTED subject to condition(s),GRANTED subject to condition(s),566334464,0,0,175170
175172,12/04688/F,"Horfield Parish HallChurch RoadHorfieldBristolBS7 8ST",Demolition of existing entrance and WC accommodation structures and construction of new extensions to provide improved entrance and WC accommodation.,GRANTED subject to condition(s),GRANTED subject to condition(s),-643265536,0,0,175172
175180,12/01042/VP,"Manor Farm Sports GroundWest Town LaneHengroveBristol","Remove deadwood from (11 & 12), remove epicormic growth to 4m (003, 020, 021, 022 & 023), lift to 1.5m (007) & remove lowest branch over path back to main stem (final cut 51-150mm) (008) all protected by tree preservation order no. 670.",GRANTED,GRANTED,268370944,0,0,175180
175181,12/01044/LC,"20 Arley HillBristolBS6 5PS",Demolition of single-storey garage.,GRANTED subject to condition(s),GRANTED subject to condition(s),354770944,0,0,175181
175182,12/01359/X,"2-4 Park Street & Land Fronting Frogmore StreetCity CentreBristolBS1 5HS","Variation of Condition 10 attached to planning permission 11/03286/F, which approved the change of use of the existing recruitment agency (Use Class A2) at ground floor and basement level to a cafe lounge (Use Class A3), alterations to existing shopfront, new retractable awning and external alterations at basement level - basement door location to be moved and a flight of external stairs added to address the differences in levels. - Drawings: 1540(L)10  and 1540(L)12 are to be replaced  with 1540 (L)20 (Proposed basement floor plan) and 1540 (L)24 (Proposed elevations).(Major application)",GRANTED subject to condition(s),GRANTED subject to condition(s),-1866596352,0,0,175182
175184,12/01569/F,"Healthtex Uk LtdCharlton RoadBrentryBristolBS10 6NF",Change of use from Sui Generis to Light industrial - Use ClassB1(c)  (Major application).,GRANTED subject to condition(s),GRANTED subject to condition(s),577636352,0,0,175184
175185,12/01660/F,"1 Beaufort CloseBristolBS5 8DJ",Demolition of existing pre-fab bungalow to permit erection of replacement bungalow.,GRANTED subject to condition(s),GRANTED subject to condition(s),-1607396352,0,0,175185
175191,12/01814/FB,"May Park Primary SchoolCoombe RoadBristolBS5 6LE","New build, two storey school building with 16 classrooms and associated spaces, including a hall, new kitchen and plant room. External works to include a new car parking area to the north west of the site, a new sprinkler tank and bin store with fencing for screening. New sports facilities and externally landscaped environment with feature canopies to the existing and new building. Removal of the existing, two storey, temporary portacabin building located to the east of the site. (Major application).",GRANTED subject to condition(s),GRANTED subject to condition(s),-779730944,0,0,175191
175192,12/01846/X,"106 Bedminster Down RoadBedminsterBristolBS13 7AF","Variation/deletion of condition 12 of planning permission 10/05223/F. Construction of a building comprising 2 no. two bedroom flats, 2 no. one bedroom flats & a studio flat, together with three parking spaces, cycle storage, refuse storage & communal garden space.",GRANTED subject to condition(s),GRANTED subject to condition(s),-311396352,0,0,175192
175197,12/01529/LA,"21 Sydenham RoadCothamBristolBS6 5SJ","Erection of a fence across the garden, to divide garden between 21 Sydenham Road 17 Gibson Road.",GRANTED subject to condition(s),GRANTED subject to condition(s),-311396352,0,0,175197
175201,12/02184/H,"The Hollows83 Washing Pound LaneBristolBS14 0PW",Two storey extension.,GRANTED subject to condition(s),GRANTED subject to condition(s),1330203648,0,0,175201
175203,12/02187/VP,"Henbury SchoolStation RoadHenburyBristolBS10 7QH",Cut back to boundary of an ash (T1). Protected by tree preservation order no. 837,GRANTED,GRANTED,1330203648,0,0,175203
175206,12/02390/VD,"56 Clifton Park RoadBristolBS8 3HN","Prune 25% off Ornamental Plum tree in front garden.  Recently a large branch broke off as it was dead, other dead branches will be removed and remove dead branch from Elder tree in back garden.",Pending Consideration,,,0,0,175206
175209,12/02566/H,"46 Sylvan WayBristolBS9 2LE",Single storey rear extension.,GRANTED subject to condition(s),GRANTED subject to condition(s),-1927963648,0,0,175209
175216,12/02469/VP,"146 Westbury RoadBristolBS9 3AL",Fell silver birch in front garden protected by tree preservation order no. 200.,GRANTED subject to condition(s),GRANTED subject to condition(s),-718363648,0,0,175216
175217,12/02822/F,"138 Gloucester RoadBishopstonBristolBS7 8NT","Proposed new shop entrance, the existing manual doors/entrance will be replaced with a new entrance which will consist of polyester powder coated aluminium screen with automated pivoted swing doors. Rear elevation- the four existing A/C units mounted on the stepped rear elevation are to be removed. New units to be mounted at high level. Proposed awning.",GRANTED subject to condition(s),GRANTED subject to condition(s),1960036352,0,0,175217
175222,12/03420/F,"47 Crossways RoadBristolBS4 2SP",Proposed two storey side extension containing a self-contained dwellinghouse.,GRANTED subject to condition(s),GRANTED subject to condition(s),-693330944,0,0,175222
175223,12/02325/F,"The Garage9 Thorndale MewsBristolBS8 2HX","Change of use from  commercial store premise to single residential unit (Use Class C3).  Alteration to roofline,  roof line partial demolition of back wall.",GRANTED subject to condition(s),GRANTED subject to condition(s),-1927963648,0,0,175223
175225,12/04721/H,"692 Wells RoadHengroveBristolBS14 9HX",Extension to front elevation of property to allow for conversion of existing garage into wheelchair accessible bedroom with accessible sanitary facilities and new vehicular access from the Wells Road to provide off road parking for disabled resident.,GRANTED subject to condition(s),GRANTED subject to condition(s),973301760,0,0,175225
175233,12/04712/F,"53 North StreetBedminsterBristolBS3 1EN",Replacement shopfront.,GRANTED subject to condition(s),GRANTED subject to condition(s),-643265536,0,0,175233
175238,12/04822/X,"2 Picton StreetBristolBS6 5QA",Variation of condition no.1 for planning permission 90/02879/F -  to enable an extension of opening hours from 8am - 8pm Monday - Saturday (premises to be vacated by 9pm) and 8am - 5pm on Sundays (premises to be vacated by 6pm) to 7.30am - 1130pm (premises vacated by midnight) all week.,GRANTED subject to condition(s),GRANTED subject to condition(s),-1334465536,0,0,175238
175239,12/04826/F,"25-27 Highridge RoadBishopsworthBristolBS13 8HJ",To construct a single storey building for office use (Use Class B1) with a courtyard and convert the redundant rear part of the retail unit into business (Use Class B1). To install a new first floor with 2 No. one bedroom flats. To construct a garage to the front Highridge Road elevation and provide waste and recycling storage facilities for the domestic and business users. To provide cycle storage spaces for the visitors to the dental surgery.,GRANTED subject to condition(s),GRANTED subject to condition(s),123032576,0,0,175239
175243,12/04833/X,"130 Nibley RoadBristolBS11 9XN",Variation of condition No. 2 for planning permission 07/01820/F to enable trade on a Sunday evening.,GRANTED subject to condition(s),GRANTED subject to condition(s),-1161665536,0,0,175243
175245,12/04732/LC,"14 & 16 Rockleaze AvenueBristolBS9 1NG",Removal of existing dwellings.,GRANTED subject to condition(s),GRANTED subject to condition(s),-643265536,0,0,175245
175248,12/04848/H,"40 Ravenhill RoadBristolBS3 5BP",Proposed single storey rear extension. Raised decking area.,GRANTED subject to condition(s),GRANTED subject to condition(s),-1334465536,0,0,175248
175249,12/04840/H,"14 Travers CloseBristolBS4 1XW",Combined single and two storey rear extension.,GRANTED subject to condition(s),GRANTED subject to condition(s),-1161665536,0,0,175249
175252,12/00551/VD,"11 Clifton HillBristol",5  DAY NOTICE. To Fell T1= X1 Holm Oak Quercus ilex situated at  rear.TPO No 640.,GRANTED,GRANTED,-2003061760,0,0,175252
175254,12/00704/A,"102 - 104 The HorsefairBristolBS1 3JX","Internally illuminated fascia signs and externally illuminated projecting sign.",GRANTED subject to condition(s),GRANTED subject to condition(s),-1482232832,0,0,175254
175255,12/00703/F,"102 - 104 The HorsefairBristolBS1 3JX","Proposed new shopfront.",GRANTED subject to condition(s),GRANTED subject to condition(s),-1482232832,0,0,175255
175258,12/00904/VP,"Homlmwood GardensChannells HillBristolBS9 3HZ","Reduction 3 horse chestnuts (T2, T3 & T4) by 15%, beech (G3) reduced by 10%-15%, crown lift and 20% reduction of a sycamore (T5) all protected by tree perservation order no 347.",GRANTED,GRANTED,-1200429056,0,0,175258
175259,12/00986/F,"Ground Floor Flat62 North ViewBristolBS6 7PZ",Single storey rear extension.,GRANTED subject to condition(s),GRANTED subject to condition(s),1218770944,0,0,175259
175260,12/01000/F,"Land Southern End Borleyton WalkAdj 36 Longmead CroftBearbridge RoadBristol","Conversion of a grassed area into a car park, to contain 8 parking spaces.",GRANTED subject to condition(s),GRANTED subject to condition(s),700370944,0,0,175260
175262,12/01001/LA,"94 -96 Lower Cheltenham PlaceBristolBS6 5LE","Removal of condemned back boilers and replacement with new, wall-hung boilers mounted on rear elevation at lower ground floor level with flues passing out through the rear wall horizontally, directly from boiler.",GRANTED subject to condition(s),GRANTED subject to condition(s),2082770944,0,0,175262
175263,12/01006/H,"46 John Repton GardensBristolBS10 6TH","Erection of a single storey, rear extension.",GRANTED subject to condition(s),GRANTED subject to condition(s),873170944,0,0,175263
175265,12/01329/VP,"6 Pitch And Pay ParkBristolBS9 1NJ",Deadwood and crown lift to 3m of a walnut (T3) protected by tree preservation order no. 719,GRANTED,GRANTED,354770944,0,0,175265
175269,12/01278/H,"44 Queens RoadBishopstonBristolBS7 9HY",Loft conversion with side and rear dormer,GRANTED subject to condition(s),GRANTED subject to condition(s),-595629056,0,0,175269
175275,12/01681/X,"The WayfarerPen Park RoadBristolBS10 6BY","Variation of condition 7 attached to planning permission 11/03613/F - To allow activity within the units by staff outside of the approved trading hours - No customers, patrons and or visitors shall remain on the premises outside the hours of 07:00 to 23:00 Monday to Sunday.",GRANTED subject to condition(s),GRANTED subject to condition(s),120603648,0,0,175275
175281,12/02676/F,"51 Abbey RoadBristolBS9 3QL","Change of use of former sub-station to garage/workshop on ground floor and habitable rooms in the roof space, with new external doors to side and rear of the building. Alteration to existing first floor front window, new windows to rear and 3 no. velux windows.",GRANTED subject to condition(s),GRANTED subject to condition(s),491236352,0,0,175281
175282,12/02388/H,"53 Bellevue CrescentBristolBS8 4TF",Proposed single storey rear extension.,GRANTED subject to condition(s),GRANTED subject to condition(s),2021403648,0,0,175282
175284,12/02395/F,"Anduff Holdings LtdWesley StreetBristolBS3 4EG",Provision of 2 No 6 Metre High Lighting Columns each with 2 No. Lights and valeting Canopy.,GRANTED subject to condition(s),GRANTED subject to condition(s),1441636352,0,0,175284
175285,12/02392/H,"2 Highworth RoadBristolBS4 4AG","Removal of shopfront and construction of new, splayed bay. Erection of decking in rear garden. Construction of new rear roof to utility room.",GRANTED subject to condition(s),GRANTED subject to condition(s),-1902930944,0,0,175285
175286,12/02394/H,"9 Hermitage CloseBristolBS11 0BT",Single storey rear kitchen extension.,GRANTED subject to condition(s),GRANTED subject to condition(s),1416603648,0,0,175286
175290,12/02379/H,"16 Clinton RoadBristolBS3 5PB","Side, two-storey extension.",GRANTED subject to condition(s),GRANTED subject to condition(s),-1582363648,0,0,175290
175292,12/02962/X,"49 Ridgeway LaneBristolBS14 9PP","Variation of condition attached to  Planning app.no. 11/01487/F, Increase in the width of the dwelling from 4.0m to 4.3m. Amended location of side windows, insertion of additional rear first floor bedroom window and ground floor patio doors.",GRANTED subject to condition(s),GRANTED subject to condition(s),-1816530944,0,0,175292
